transaction_id,amount,hour_of_day,country_code,is_foreign,account_age_days,txns_last_1h,is_new_device,merchant_category,is_fraud
T1011113,21.74,5,RU,1,52,1,1,dining,0
T1006756,329.05,10,AU,0,1295,2,1,utilities,0
T1020884,130.56,5,AU,0,111,0,0,apparel,0
T1026316,3.81,14,de,1,3632,1,0,fuel,0
T1003486,38.5,23,AU,0,247,0,0,groceries,0
T1022787,5.48,16,Au,0,1589,0,0,apparel,0
T1018806,88.44,5,AU,0,3569,1,0,electronics,0
T1011490,23.4,18,AU,0,3619,2,0,utilities,0
T1008279,10.9,10,au,0,476,1,0,electronics,0
T1007473,11.82,11,au,0,524,2,0,electronics,0
T1003457,9.96,21,Au,0,2486,0,1,electronics,0
T1002851,219.34,15,Au,0,2149,3,0,apparel,0
T1015573,69.45,6,Ru,1,133,0,1,gaming,0
T1011557,9.61,0,au,0,2673,2,0,dining,0
T1007598,52.67,4,AU,0,3095,1,0,apparel,0
T1005215,17.65,1,au,0,285,1,0,fuel,0
T1009544,11.24,9,AU,0,2216,0,0,apparel,0
T1024027,10.23,19,AU,0,760,2,0,fuel,0
T1027658,23.63,19,AU,0,621,3,1,pharmacy,0
T1029889,16.96,18,AU,0,1064,1,0,dining,0
T1026772,8.38,9,au,0,2609,0,1,utilities,0
T1000286,33.97,1,au,0,897,0,0,gaming,0
T1002957,63.64,15,AU,0,845,0,0,gaming,0
T1006932,9.34,11,au,0,2078,5,0,pharmacy,0
T1003876,42.7,22,au,0,3016,1,0,dining,0
T1001170,67.99,20,AU,0,2533,0,0,dining,0
T1001036,49.96,13,au,0,3004,0,1,groceries,0
T1024512,151.44,20,Au,0,625,0,0,electronics,0
T1001630,64.53,8,AU,0,2790,0,0,groceries,0
T1002641,31.49,9,ru,1,915,2,0,groceries,0
T1019779,20.9,6,AU,0,29,0,0,pharmacy,0
T1017868,194.03,13,au,0,685,2,0,electronics,0
T1002580,11.39,19,au,0,3546,5,0,crypto,0
T1018375,28.16,22,DE,1,105,1,0,,0
T1005625,9.35,19,Au,0,3212,0,0,fuel,0
T1001327,9.52,23,AU,0,1194,1,0,gaming,0
T1004869,97.81,17,Gb,1,2871,8,0,crypto,0
T1029223,37.47,21,RU,1,3008,1,0,travel,0
T1023185,83.6,0,au,0,1700,0,0,pharmacy,0
T1018860,16.92,20,AU,0,85,1,0,electronics,0
T1006638,54.55,15,AU,0,3435,1,0,dining,0
T1003455,8.96,0,AU,0,1427,5,0,apparel,0
T1011732,166.6,4,au,0,856,1,0,utilities,0
T1020177,20.88,15,ru,1,3407,0,0,electronics,0
T1001673,17.96,3,au,0,2885,0,1,pharmacy,0
T1016169,5.02,19,Au,0,2888,1,0,groceries,0
T1025653,21.37,9,CN,1,81,0,0,travel,0
T1028164,12.75,15,AU,0,3551,1,1,gaming,0
T1006210,20.75,18,Au,0,559,1,0,groceries,0
T1003339,75.37,14,au,0,2475,0,0,apparel,0
T1005725,9.16,0,Au,0,19,1,0,pharmacy,0
T1006464,18.0,12,In,1,462,1,1,apparel,0
T1022743,67.17,3,Au,0,2207,0,0,apparel,0
T1008617,45.06,19,au,0,2129,2,0,dining,0
T1027120,10.57,5,au,0,2367,5,0,utilities,0
T1011669,13.69,21,Au,0,548,3,0,apparel,0
T1007212,59.69,6,AU,0,2077,1,0,pharmacy,0
T1025693,37.34,10,AU,0,1075,0,0,,0
T1022437,33.21,21,AU,0,1057,1,0,utilities,0
T1022416,61.2,18,us,1,3108,3,0,dining,0
T1004584,16.41,2,us,1,80,0,0,apparel,0
T1001750,104.9,9,au,0,2469,0,0,,0
T1023535,17.97,6,AU,0,3614,1,0,dining,0
T1025507,26.54,19,AU,0,358,0,0,apparel,0
T1028890,57.9,15,AU,0,272,0,0,dining,0
T1008038,8.92,15,AU,0,3129,1,0,crypto,0
T1003337,43.28,21,au,0,2922,2,0,utilities,0
T1003243,8.48,4,au,0,3650,1,1,fuel,0
T1017095,19.0,3,AU,0,1598,0,1,travel,0
T1027961,64.51,0,au,0,765,1,0,pharmacy,0
T1011293,18.22,18,AU,0,1857,3,1,,0
T1021592,5.6,7,CN,1,2403,0,0,crypto,0
T1007574,98.3,10,Au,0,1207,0,0,travel,0
T1003656,10.78,9,au,0,1361,1,0,apparel,0
T1001759,97.62,8,AU,0,1197,2,0,travel,0
T1003760,24.94,13,AU,0,1959,0,0,gaming,0
T1025235,58.91,5,AU,0,2232,0,0,electronics,0
T1025831,48.11,16,Au,0,1393,2,1,travel,0
T1000982,25.61,15,AU,0,1078,1,1,crypto,0
T1000501,71.0,16,AU,0,1341,0,0,apparel,0
T1015807,14.55,0,AU,0,397,1,0,apparel,0
T1025451,16.25,3,AU,0,1645,0,1,crypto,0
T1012874,37.89,21,Au,0,1640,2,0,groceries,0
T1002073,83.49,18,AU,0,291,1,0,electronics,0
T1011760,24.79,23,AU,0,3043,0,0,apparel,0
T1004817,52.68,10,AU,0,2325,1,1,apparel,0
T1019002,26.44,5,AU,0,3221,2,0,travel,0
T1018556,43.95,19,au,0,1368,0,0,pharmacy,0
T1021933,16.88,9,AU,0,855,0,0,groceries,0
T1020064,12.0,21,AU,0,2859,0,0,apparel,0
T1029748,132.55,16,IN,1,354,0,0,electronics,0
T1024477,44.4,13,AU,0,2166,0,0,dining,0
T1029269,68.31,18,IN,1,1260,2,0,pharmacy,0
T1024896,26.21,19,AU,0,3623,0,1,dining,0
T1008283,49.11,10,au,0,2076,2,0,crypto,0
T1023462,174.24,0,Au,0,484,5,0,apparel,0
T1007792,14.19,10,AU,0,1392,0,0,dining,0
T1028442,17.89,15,AU,0,3308,1,0,gaming,0
T1013617,14.86,22,nz,1,1886,0,0,gaming,0
T1028754,13.28,16,AU,0,2757,0,1,dining,0
T1029936,3.19,21,AU,0,2884,2,1,utilities,0
T1010590,59.34,0,AU,0,3316,0,0,crypto,0
T1009659,57.64,17,AU,0,2728,8,0,crypto,0
T1000348,27.53,19,au,0,495,5,0,utilities,0
T1006640,406.42,5,Au,0,2207,0,0,groceries,0
T1010299,48.21,23,ru,1,3142,0,1,pharmacy,0
T1003780,76.49,17,au,0,3280,1,0,utilities,0
T1025672,13.17,18,DE,1,1554,5,0,pharmacy,0
T1000913,17.17,2,au,0,104,2,1,utilities,0
T1005987,143.99,16,au,0,278,1,0,gaming,0
T1021084,9.29,1,Au,0,1870,0,0,dining,0
T1014349,59.51,18,AU,0,969,0,0,fuel,0
T1023465,24.37,12,AU,0,1370,0,1,apparel,0
T1026837,30.51,19,BR,1,2759,2,0,gaming,0
T1012019,5.0,16,AU,0,1760,0,0,electronics,0
T1013922,18.41,19,NG,1,695,1,0,dining,0
T1018887,32.62,12,Au,0,779,0,0,groceries,0
T1024718,30.55,22,AU,0,1104,0,0,apparel,0
T1026489,36.0,15,AU,0,1292,8,0,utilities,0
T1021784,29.63,11,ng,1,3080,2,1,gaming,0
T1021227,31.59,5,AU,0,3087,5,0,fuel,0
T1017168,18.77,18,au,0,1831,1,0,dining,0
T1012408,24.09,7,au,0,1054,0,0,travel,0
T1005566,24.21,18,ng,1,3332,1,0,crypto,0
T1017332,33.83,17,au,0,3358,2,0,utilities,0
T1021805,13.73,10,Au,0,1143,1,0,,0
T1020758,49.09,19,Au,0,436,1,0,apparel,0
T1002332,53.16,2,AU,0,2135,0,1,travel,0
T1026309,17.82,21,au,0,421,1,0,travel,0
T1029035,18.23,8,au,0,2060,0,0,electronics,0
T1003380,48.98,19,au,0,1044,1,0,pharmacy,0
T1024485,11.68,6,au,0,711,0,1,gaming,0
T1029153,206.86,18,SG,1,92,8,0,travel,0
T1014287,159.17,2,au,0,2267,0,1,fuel,0
T1011791,17.32,7,AU,0,2936,1,0,utilities,0
T1014389,3.02,6,au,0,3015,0,0,fuel,0
T1028189,113.72,11,AU,0,3620,0,1,utilities,0
T1011204,185.73,1,in,1,2956,0,0,dining,0
T1007944,60.89,21,DE,1,2766,8,0,,0
T1020506,6.31,12,AU,0,3111,0,0,utilities,0
T1000704,5.75,9,AU,0,1827,0,0,electronics,0
T1024595,64.93,22,au,0,245,0,1,pharmacy,0
T1020436,32.87,9,au,0,2443,1,0,apparel,0
T1005209,6.84,4,AU,0,2790,2,1,utilities,0
T1009763,149.23,14,AU,0,1494,0,0,pharmacy,0
T1013400,30.28,8,AU,0,3319,3,0,dining,0
T1015503,14.28,19,AU,0,3515,1,0,dining,0
T1006493,9.18,18,AU,0,2427,2,0,travel,0
T1011371,145.97,15,AU,0,1382,1,0,electronics,0
T1019948,26.32,13,AU,0,1462,5,0,utilities,0
T1025861,20.14,13,AU,0,1261,0,0,dining,0
T1025419,6.09,0,IN,1,310,2,0,travel,0
T1005247,34.14,22,AU,0,1696,0,1,pharmacy,0
T1001228,11.2,7,au,0,145,1,1,utilities,0
T1002892,86.87,12,Au,0,925,0,1,crypto,0
T1011491,104.95,10,au,0,88,1,0,dining,1
T1011659,53.76,13,AU,0,1430,0,0,apparel,0
T1010235,25.93,22,au,0,58,1,0,crypto,0
T1005189,18.61,0,au,0,1513,0,1,electronics,0
T1020831,33.7,2,AU,0,1439,3,0,dining,0
T1017410,21.74,20,au,0,1807,5,0,pharmacy,0
T1005912,43.13,10,CN,1,2244,2,0,fuel,0
T1012708,16.87,2,AU,0,2694,0,0,utilities,0
T1022192,264.54,15,au,0,986,3,1,crypto,0
T1000325,28.6,5,AU,0,649,1,0,fuel,0
T1028675,17.79,18,Au,0,3382,1,0,dining,0
T1012245,11.16,2,Au,0,1490,8,0,electronics,0
T1009089,277.64,7,au,0,716,2,0,,0
T1020073,149.01,20,AU,0,1126,0,0,gaming,0
T1019399,37.26,6,AU,0,1977,0,1,groceries,0
T1011197,20.49,3,AU,0,2644,2,0,,0
T1007906,23.7,17,Au,0,1994,0,1,apparel,0
T1010120,203.76,4,au,0,286,3,0,groceries,0
T1012400,20.23,23,AU,0,2593,0,1,utilities,0
T1003268,20.66,17,AU,0,2356,0,0,apparel,0
T1026598,153.8,23,au,0,533,2,0,apparel,0
T1009619,57.55,2,AU,0,40,3,1,crypto,0
T1023433,14.98,14,AU,0,3624,1,0,groceries,0
T1022641,181.04,12,AU,0,3488,0,1,groceries,0
T1001266,16.54,10,AU,0,3572,3,0,utilities,0
T1006084,116.32,1,au,0,2169,0,1,travel,0
T1020525,29.6,20,CN,1,2359,0,0,electronics,0
T1010593,19.5,15,au,0,2216,0,0,utilities,0
T1002469,26.72,17,AU,0,2901,1,0,dining,0
T1011139,24.31,16,au,0,461,2,0,crypto,0
T1029308,168.27,16,nz,1,2581,0,0,dining,0
T1019189,7.86,3,NG,1,2577,1,0,crypto,0
T1029576,33.99,21,AU,0,3146,1,1,travel,0
T1017487,17.03,23,IN,1,3538,0,1,gaming,0
T1016692,46.89,17,AU,0,3006,1,0,groceries,0
T1015846,63.11,19,AU,0,1638,1,0,groceries,0
T1016495,7.73,23,AU,0,1444,0,0,gaming,0
T1020861,9.08,16,Au,0,1747,1,0,gaming,0
T1028949,32.25,14,NG,1,936,0,0,gaming,0
T1023615,5.9,5,Au,0,2025,0,0,groceries,0
T1019340,8.44,4,au,0,2538,1,0,fuel,0
T1002549,25.15,2,au,0,2399,1,0,pharmacy,0
T1005212,166.65,3,au,0,1959,0,1,crypto,0
T1006321,97.53,20,AU,0,1439,0,0,groceries,0
T1015545,12.44,13,gb,1,3292,0,0,apparel,0
T1004845,9.65,15,BR,1,1254,1,0,electronics,0
T1021091,136.68,13,au,0,542,3,1,dining,0
T1024687,133.12,4,au,0,2542,0,0,apparel,0
T1014794,83.55,9,ng,1,2557,3,0,fuel,0
T1021528,5.33,19,AU,0,2807,3,0,groceries,0
T1002389,29.68,1,IN,1,655,0,1,apparel,0
T1022046,23.5,0,AU,0,1900,2,1,groceries,0
T1021781,29.79,14,AU,0,2550,1,0,pharmacy,0
T1010531,25.38,18,au,0,497,0,0,utilities,0
T1024660,8.92,4,au,0,2761,2,0,,0
T1003067,29.07,4,au,0,2295,1,1,groceries,0
T1012202,132.13,16,au,0,979,0,0,utilities,0
T1012716,58.79,11,AU,0,897,0,1,apparel,0
T1020930,49.81,10,Au,0,1998,2,1,gaming,0
T1016504,43.82,5,AU,0,129,0,1,groceries,0
T1026389,143.59,21,AU,0,999,1,0,apparel,0
T1024368,22.63,17,Au,0,1037,1,0,apparel,0
T1017741,29.08,5,AU,0,916,1,0,dining,0
T1029548,51.64,16,GB,1,2279,2,0,groceries,0
T1015915,26.45,2,Au,0,916,1,0,dining,0
T1012214,18.68,15,AU,0,1124,0,0,utilities,0
T1023221,26.07,8,CN,1,367,3,0,travel,1
T1001003,10.41,8,AU,0,67,1,0,gaming,0
T1021662,82.36,11,au,0,2660,0,0,pharmacy,0
T1009445,23.88,16,Au,0,182,2,0,groceries,0
T1027384,11.41,18,AU,0,1045,3,0,fuel,0
T1002545,14.86,8,AU,0,92,0,0,groceries,0
T1008150,74.68,14,AU,0,1583,0,0,crypto,0
T1027506,18.43,2,AU,0,3371,1,0,gaming,0
T1017130,12.53,19,AU,0,2999,2,0,dining,0
T1029841,17.57,0,au,0,3066,12,1,utilities,0
T1000085,24.67,14,IN,1,119,0,0,travel,0
T1017887,92.62,1,au,0,3359,2,0,utilities,0
T1008202,23.33,3,DE,1,1569,1,0,travel,0
T1017786,38.68,8,Au,0,2924,1,0,pharmacy,0
T1029544,47.99,12,AU,0,1529,0,0,gaming,0
T1005951,33.08,8,Au,0,2417,1,1,fuel,0
T1012749,31.37,7,US,1,3164,2,0,travel,0
T1024874,37.36,11,Au,0,86,0,0,,0
T1025601,44.59,15,au,0,1890,2,0,,0
T1007726,35.72,14,AU,0,2453,0,0,fuel,0
T1021748,49.36,4,au,0,2775,1,0,gaming,0
T1006587,54.22,1,RU,1,607,12,0,electronics,0
T1000975,3.28,23,Cn,1,2485,1,1,dining,0
T1020687,80.01,19,au,0,838,0,0,gaming,0
T1027936,61.09,14,Sg,1,530,0,0,dining,0
T1023629,125.92,2,AU,0,1048,5,1,pharmacy,0
T1007360,11.05,1,AU,0,645,1,0,,0
T1026529,15.28,6,au,0,1996,1,0,fuel,0
T1014871,159.73,1,au,0,1550,2,0,electronics,0
T1014213,6.24,22,au,0,520,8,1,gaming,0
T1014725,14.28,1,AU,0,3618,0,0,electronics,0
T1021396,57.91,10,AU,0,524,1,0,groceries,0
T1029387,443.66,12,Cn,1,832,1,0,gaming,0
T1015436,28.62,21,au,0,1804,2,1,groceries,0
T1003442,9.7,17,AU,0,988,2,1,gaming,0
T1023156,10.19,0,AU,0,1482,1,0,groceries,0
T1016921,21.88,7,AU,0,3556,1,0,utilities,0
T1016368,56.87,12,Au,0,3552,2,0,dining,0
T1017562,121.1,8,au,0,3168,2,0,electronics,0
T1003506,42.48,11,AU,0,544,2,0,,0
T1027270,27.49,7,AU,0,1,3,0,electronics,0
T1011995,109.03,3,au,0,2471,0,1,gaming,0
T1013742,47.86,12,AU,0,2859,0,0,gaming,0
T1008246,3.19,15,au,0,2110,2,1,dining,0
T1018742,65.41,10,br,1,772,0,1,groceries,0
T1023679,21.24,13,au,0,2858,1,0,apparel,0
T1020902,10.83,15,IN,1,2890,1,0,groceries,0
T1001057,148.14,6,au,0,2596,2,0,crypto,0
T1021706,34.03,13,au,0,2187,1,0,travel,0
T1013259,10.65,16,AU,0,155,0,0,dining,0
T1000044,4.56,17,au,0,652,2,0,travel,0
T1008987,7.42,1,AU,0,854,0,0,fuel,0
T1028915,68.65,12,au,0,602,0,0,electronics,0
T1018092,141.57,14,au,0,3522,0,0,fuel,0
T1008118,11.24,18,Gb,1,2063,0,0,crypto,0
T1028712,41.35,21,AU,0,534,1,0,pharmacy,0
T1006538,2.08,8,AU,0,2231,2,0,travel,0
T1014883,49.67,1,au,0,301,1,0,pharmacy,0
T1007444,9.49,12,ng,1,2566,0,0,gaming,0
T1011772,42.41,3,AU,0,792,0,0,gaming,0
T1002625,18.69,5,NG,1,1039,0,0,gaming,0
T1000062,23.58,23,AU,0,2968,1,0,pharmacy,0
T1026596,50.18,7,AU,0,1062,0,0,electronics,0
T1012134,17.46,16,AU,0,1994,0,0,utilities,0
T1009647,143.19,20,AU,0,1457,0,0,dining,0
T1011316,14.19,8,AU,0,1089,1,0,groceries,0
T1025993,39.08,9,au,0,1507,0,0,dining,0
T1012638,26.62,0,au,0,2066,2,0,groceries,0
T1010174,4.27,17,AU,0,1065,2,1,travel,0
T1019307,79.47,3,AU,0,543,3,0,crypto,0
T1023628,110.69,3,AU,0,404,0,0,travel,0
T1020033,25.46,4,au,0,2328,5,1,fuel,1
T1021940,49.3,15,SG,1,522,0,0,electronics,0
T1028794,15.14,17,au,0,1958,1,0,crypto,0
T1010491,36.7,2,AU,0,3261,3,0,apparel,0
T1011556,159.18,1,US,1,506,1,0,crypto,0
T1022701,27.95,11,AU,0,699,2,1,gaming,0
T1001664,40.75,8,au,0,2220,1,0,dining,0
T1001782,47.86,19,AU,0,2461,5,1,travel,0
T1010453,11.0,12,au,0,1912,5,0,apparel,0
T1018850,29.87,16,AU,0,556,0,0,crypto,0
T1000585,27.55,16,AU,0,271,5,0,crypto,0
T1005698,92.76,7,AU,0,1196,0,1,electronics,0
T1003179,67.65,8,AU,0,2462,0,0,dining,0
T1011430,105.95,19,AU,0,1465,0,0,utilities,0
T1027852,15.34,4,Au,0,3483,3,0,apparel,0
T1012426,14.61,23,SG,1,855,3,1,dining,0
T1010073,17.36,17,Au,0,1458,2,0,dining,0
T1020499,31.02,7,AU,0,2041,0,1,utilities,0
T1026016,240.32,16,au,0,209,0,0,utilities,0
T1020663,24.58,5,AU,0,13,1,0,,0
T1012062,129.21,0,Au,0,2644,1,0,utilities,0
T1000902,17.08,6,Au,0,2784,1,1,gaming,0
T1021802,30.6,20,AU,0,1971,3,0,utilities,0
T1022956,6.32,7,SG,1,2850,1,0,travel,0
T1018518,57.36,19,au,0,1666,1,0,electronics,0
T1016846,6.65,4,Au,0,478,0,0,gaming,0
T1008336,207.32,13,DE,1,2295,0,0,pharmacy,0
T1004528,229.72,4,au,0,1549,0,0,fuel,0
T1025199,30.09,3,au,0,3211,0,1,utilities,0
T1019774,72.1,14,AU,0,2356,0,0,gaming,0
T1003919,26.58,21,AU,0,2234,1,0,gaming,0
T1008019,111.08,15,AU,0,3551,0,1,utilities,0
T1006982,43.04,23,AU,0,2557,1,0,crypto,0
T1010228,47.99,0,au,0,77,0,1,pharmacy,0
T1026319,39.17,7,au,0,1832,5,1,groceries,0
T1004160,21.77,4,ru,1,2011,2,0,pharmacy,0
T1005318,19.33,17,SG,1,3465,0,0,,0
T1017595,14.39,13,au,0,1500,1,0,crypto,0
T1002952,13.1,2,AU,0,3304,0,1,crypto,0
T1025274,29.26,23,AU,0,3482,2,0,groceries,0
T1011014,23.43,3,AU,0,261,0,0,utilities,0
T1010914,22.59,4,SG,1,1328,5,1,groceries,0
T1013122,34.91,12,Au,0,565,0,0,apparel,0
T1027690,20.79,17,AU,0,2338,1,0,utilities,0
T1001297,11.46,21,US,1,1407,1,0,dining,0
T1018446,117.89,4,AU,0,3261,2,0,groceries,0
T1027890,108.53,2,us,1,1414,0,0,crypto,0
T1004634,110.1,4,AU,0,1252,2,0,electronics,0
T1023659,35.38,5,au,0,3542,0,0,dining,0
T1006639,22.39,12,AU,0,449,0,1,pharmacy,0
T1000449,134.28,17,Au,0,1383,1,0,pharmacy,0
T1028819,38.11,23,au,0,3310,1,0,pharmacy,0
T1027732,96.58,15,AU,0,1335,0,0,travel,0
T1008729,60.87,6,br,1,2015,0,0,pharmacy,0
T1020338,19.84,9,Au,0,1441,2,0,pharmacy,0
T1027931,64.38,17,Au,0,889,0,0,groceries,0
T1027979,9.58,2,Au,0,3314,2,1,groceries,0
T1025985,80.19,15,Au,0,2286,1,1,groceries,0
T1020448,85.86,17,au,0,3116,0,0,groceries,0
T1027581,29.18,6,de,1,1397,0,0,crypto,0
T1026626,58.73,0,Cn,1,801,0,0,utilities,0
T1013522,27.11,21,AU,0,643,1,0,fuel,0
T1015855,90.27,13,AU,0,1479,2,1,crypto,0
T1000606,49.95,13,AU,0,1141,2,0,pharmacy,0
T1012180,24.99,20,AU,0,3195,1,0,groceries,0
T1004844,12.02,9,AU,0,482,0,0,crypto,0
T1019335,21.13,0,AU,0,1301,0,0,electronics,0
T1023649,8.37,13,Au,0,1273,0,1,electronics,0
T1000799,12.6,23,AU,0,2631,2,0,crypto,0
T1017230,45.12,17,au,0,3171,0,0,pharmacy,0
T1004473,89.67,13,au,0,3500,0,0,fuel,0
T1022280,22.63,23,AU,0,2257,2,1,gaming,0
T1021360,30.25,7,RU,1,1853,0,0,travel,0
T1026237,43.78,3,AU,0,55,0,0,electronics,0
T1011571,20.76,10,Au,0,468,3,0,dining,0
T1029959,153.82,10,AU,0,1661,0,0,crypto,0
T1026820,10.46,18,AU,0,2179,0,1,gaming,0
T1001640,34.32,20,Au,0,1520,0,1,fuel,0
T1011782,6.96,6,AU,0,3623,2,1,fuel,0
T1024638,63.61,4,GB,1,1265,1,0,groceries,0
T1002693,12.96,2,In,1,2168,0,0,utilities,0
T1015000,122.02,19,AU,0,2908,2,0,crypto,0
T1009236,12.2,6,gb,1,2062,1,0,apparel,0
T1008945,26.87,2,Au,0,2076,1,1,travel,0
T1004740,14.94,23,au,0,1535,0,0,gaming,0
T1028627,8.37,8,SG,1,1584,1,1,electronics,0
T1025139,27.93,2,Au,0,344,0,0,utilities,0
T1022901,19.82,20,AU,0,3539,0,0,dining,0
T1021653,64.4,5,AU,0,2623,1,0,fuel,0
T1017889,98.17,5,au,0,2234,1,0,utilities,0
T1003905,122.12,8,Au,0,3132,0,0,pharmacy,0
T1012652,122.93,5,au,0,1840,1,0,travel,0
T1008309,9.29,14,ru,1,942,2,0,apparel,0
T1023512,44.31,14,AU,0,233,2,0,travel,0
T1023322,16.63,9,Ru,1,1270,0,0,gaming,0
T1024909,2.72,20,AU,0,101,0,1,groceries,0
T1021630,64.7,8,AU,0,2451,0,0,groceries,0
T1026393,15.37,18,BR,1,647,2,0,pharmacy,0
T1000802,20.09,0,au,0,1887,0,0,travel,0
T1013661,9.55,18,AU,0,1626,0,0,groceries,0
T1029788,95.52,12,au,0,3635,12,1,travel,0
T1008299,23.56,16,AU,0,721,1,0,groceries,0
T1018903,84.11,6,us,1,1955,0,0,gaming,0
T1023238,56.1,19,AU,0,2294,0,0,groceries,0
T1028204,46.24,13,AU,0,659,0,0,fuel,0
T1000268,11.89,9,AU,0,1245,2,0,gaming,0
T1029409,65.76,9,Au,0,304,1,0,pharmacy,0
T1016274,19.98,11,au,0,2297,0,0,utilities,0
T1023856,12.44,20,IN,1,3605,2,0,pharmacy,0
T1015099,10.95,14,AU,0,2249,0,1,travel,0
T1002071,2.32,2,AU,0,1975,1,0,crypto,0
T1023927,47.32,15,Br,1,2477,0,0,electronics,0
T1022939,7.2,13,gb,1,1902,1,0,crypto,0
T1000092,100.55,8,Au,0,1053,3,0,travel,0
T1027790,11.0,4,BR,1,2986,2,0,gaming,0
T1000190,299.64,15,Br,1,738,2,0,crypto,0
T1004132,47.96,2,AU,0,2330,5,1,utilities,0
T1018750,18.76,5,BR,1,846,2,1,dining,0
T1022504,41.81,19,br,1,1099,2,0,gaming,0
T1004287,17.76,18,au,0,2684,1,0,crypto,0
T1013454,25.37,19,au,0,1796,0,0,groceries,0
T1010882,15.02,7,NZ,1,761,2,0,gaming,0
T1009494,34.35,8,AU,0,387,1,0,electronics,0
T1007908,15.33,5,NZ,1,1472,5,0,crypto,0
T1011566,39.97,12,AU,0,3200,0,0,travel,0
T1007813,33.42,9,AU,0,3106,2,0,crypto,0
T1013143,20.04,23,SG,1,75,2,0,dining,0
T1004215,50.56,18,AU,0,2316,3,1,dining,0
T1015936,26.43,10,AU,0,2487,3,0,crypto,0
T1014558,49.53,12,AU,0,1739,0,0,pharmacy,0
T1017292,43.25,17,AU,0,3369,1,0,fuel,0
T1023570,84.5,19,Au,0,3199,1,1,pharmacy,0
T1006380,26.05,17,au,0,2229,0,0,electronics,0
T1019979,12.17,6,US,1,451,0,1,gaming,0
T1000175,49.62,14,AU,0,3062,1,0,apparel,0
T1019305,53.87,17,AU,0,2430,0,0,,0
T1017819,6.85,11,AU,0,1774,0,0,fuel,0
T1000221,9.52,13,AU,0,3206,0,0,electronics,0
T1026492,26.19,8,AU,0,2094,1,0,groceries,0
T1004956,46.41,4,au,0,3602,0,0,gaming,0
